Keyword,Search Volume,Competition Level,CPC (RM),Keyword Difficulty,Search Intent,Funnel Stage,Business Value Score,Strategic Fit Score,Search Volume Score,KD Score,Total Priority Score,Priority Tier,Content Type,URL Slug,Hub Assignment,Production Month,Status
"AI SEO Malaysia",N/A,N/A,N/A,N/A,transactional,BOFU,10,10,5,10,35,TIER 1,Service Page,/ai-seo-malaysia/,None (Service),Month 1 Week 1,Pending
"AI SEO agency",20,MEDIUM,3.39,N/A,transactional,BOFU,10,10,2,8,30,TIER 1,Service Page,/ai-seo-agency/,None (Service),Month 1 Week 1,Pending
"100 keywords per month SEO",N/A,N/A,N/A,N/A,transactional,BOFU,10,10,5,10,35,TIER 1,Unique Service Page,/100-keywords-per-month-seo/,None (Service),Month 1 Week 1,Pending
"SEO agency for small business Malaysia",N/A,N/A,N/A,N/A,transactional,BOFU,10,6,5,10,31,TIER 1,Target Market Page,/seo-agency-small-business-malaysia/,None (Service),Month 1 Week 2,Pending
"SEO agency using AI automation Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,10,5,10,35,TIER 1,Positioning Page,/ai-automation-seo-agency/,None (Service),Month 1 Week 2,Pending
"how to optimize for ChatGPT search",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Ultimate Guide,/how-to-optimize-chatgpt-search/,Hub 1: AI Search,Month 1 Week 3,Pending
"how to rank in AI search engines",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,How-To Guide,/how-to-rank-ai-search-engines/,Hub 1: AI Search,Month 1 Week 3,Pending
"Perplexity AI search optimization",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Tutorial,/perplexity-ai-search-optimization/,Hub 1: AI Search,Month 1 Week 3,Pending
"how does AI SEO differ from traditional SEO",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 1,Educational Post,/ai-seo-vs-traditional-seo/,Hub 1: AI Search,Month 1 Week 4,Pending
"Claude Code SEO automation",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Technical Deep-Dive,/claude-code-seo-automation/,Hub 1: AI Search,Month 1 Week 4,Pending
"SEO for SaaS companies Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-saas-companies-malaysia/,Hub 3A: SaaS,Month 1 Week 5,Pending
"SEO for law firms Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-law-firms-malaysia/,Hub 3B: Legal,Month 1 Week 5,Pending
"SEO for accounting firms Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-accounting-firms-malaysia/,Hub 3B: Prof Services,Month 1 Week 5,Pending
"SEO for equipment financing companies",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-equipment-financing-companies/,Hub 3C: Finance,Month 1 Week 6,Pending
"professional services digital marketing Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/professional-services-digital-marketing/,Hub 3B: Prof Services,Month 1 Week 6,Pending
"best alternative to traditional SEO agencies",N/A,N/A,N/A,N/A,commercial,MOFU,8,10,5,10,33,TIER 1,Comparison Post,/alternative-traditional-seo-agencies/,Hub 2: Long-Tail,Month 1 Week 6,Pending
"AI SEO agency vs manual SEO agency",N/A,N/A,N/A,N/A,commercial,MOFU,8,10,5,10,33,TIER 1,Comparison Post,/ai-seo-vs-manual-seo-agency/,Hub 1: AI Search,Month 1 Week 6,Pending
"benefits of long tail keywords for small businesses",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Educational Post,/benefits-long-tail-keywords-small-business/,Hub 2: Long-Tail,Month 1 Week 6,Pending
"fastest way to rank 100 keywords",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Tactical Guide,/fastest-way-rank-100-keywords/,Hub 2: Long-Tail,Month 1 Week 3,Pending
"why is my website not getting traffic",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,Problem/Solution,/why-website-not-getting-traffic/,None (Standalone),Month 1 Week 3,Pending
"how to get more leads from website",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,Problem/Solution,/how-to-get-more-leads-from-website/,None (Standalone),Month 1 Week 3,Pending
"paid ads too expensive alternatives",N/A,N/A,N/A,N/A,commercial,TOFU,8,8,5,10,31,TIER 1,Solution Post,/paid-ads-expensive-alternatives/,None (Standalone),Month 1 Week 4,Pending
"reduce customer acquisition cost with SEO",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,ROI-Focused Post,/reduce-customer-acquisition-cost-seo/,None (Standalone),Month 1 Week 4,Pending
"local SEO for professional services firms",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution,/local-seo-professional-services/,Hub 3B: Prof Services,Month 1 Week 5,Pending
"law firm client acquisition strategies Malaysia",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,Vertical Guide,/law-firm-client-acquisition-malaysia/,Hub 3B: Legal,Month 1 Week 5,Pending
"SEO consultant Malaysia",590,LOW,2.14,N/A,commercial,MOFU,8,6,8,8,30,TIER 2,Service Comparison,/seo-consultant-malaysia/,None (Service),Month 2,Pending
"digital marketing malaysia",880,MEDIUM,3.80,19,commercial,BOFU,6,4,8,6,24,TIER 2,Service Overview,/digital-marketing-malaysia/,None (Service),Month 2,Pending
"marketing agency malaysia",590,LOW,3.68,58,transactional,BOFU,6,4,8,4,22,TIER 2,Company Overview,/marketing-agency-malaysia/,None (Service),Month 2,Pending
"content marketing",720,LOW,3.48,59,informational,TOFU,4,4,8,4,20,TIER 2,Educational Post,/content-marketing-guide/,None (Standalone),Month 2,Pending
"ChatGPT search optimization guide",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 2,Step-by-Step Guide,/chatgpt-search-optimization-guide/,Hub 1: AI Search,Month 2,Pending
"AI search vs Google search differences",N/A,N/A,N/A,N/A,informational,TOFU,4,10,5,10,29,TIER 2,Comparison Post,/ai-search-vs-google-search/,Hub 1: AI Search,Month 2,Pending
"long tail vs head keywords ROI comparison",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 2,Data-Driven Post,/long-tail-vs-head-keywords-roi/,Hub 2: Long-Tail,Month 2,Pending
"complete guide to long tail keyword research",N/A,N/A,N/A,N/A,informational,TOFU,6,8,5,10,29,TIER 2,Ultimate Guide,/complete-guide-long-tail-keyword-research/,Hub 2: Long-Tail,Month 2,Pending
"long tail keyword strategy for SMEs",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 2,Strategic Guide,/long-tail-keyword-strategy-smes/,Hub 2: Long-Tail,Month 2,Pending
"AI search optimization for businesses",N/A,N/A,N/A,N/A,commercial,MOFU,8,10,5,10,33,TIER 2,Solution Guide,/ai-search-optimization-businesses/,Hub 1: AI Search,Month 2,Pending
"e-commerce SEO Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,8,6,5,10,29,TIER 2,Vertical Solution Hub,/ecommerce-seo-malaysia/,Hub 3D: Ecommerce,Month 2,Pending
"accounting firm SEO best practices",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 2,Best Practices Post,/accounting-firm-seo-best-practices/,Hub 3B: Prof Services,Month 2,Pending
"organic vs paid search cost comparison Malaysia",N/A,N/A,N/A,N/A,informational,TOFU,6,6,5,10,27,TIER 2,Comparison Post,/organic-vs-paid-search-cost-comparison/,Hub 2: Long-Tail,Month 3,Pending
"AI content writer vs human content writer",N/A,N/A,N/A,N/A,commercial,TOFU,4,8,5,10,27,TIER 2,Comparison Post,/ai-content-writer-vs-human/,Hub 1: AI Search,Month 3,Pending
"content at scale with AI tools",N/A,N/A,N/A,N/A,commercial,TOFU,6,8,5,10,29,TIER 2,Process Post,/content-at-scale-ai-tools/,Hub 2: Long-Tail,Month 3,Pending
"automated content creation for SEO",N/A,N/A,N/A,N/A,commercial,TOFU,6,8,5,10,29,TIER 2,Educational Post,/automated-content-creation-seo/,Hub 2: Long-Tail,Month 3,Pending
"how to rank on Perplexity AI",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 2,How-To Guide,/how-to-rank-perplexity-ai/,Hub 1: AI Search,Month 3,Pending
"SEO results in 30 days possible",N/A,N/A,N/A,N/A,commercial,MOFU,6,6,5,10,27,TIER 2,Timeline Post,/seo-results-30-days-possible/,None (Standalone),Month 3,Pending
"fast SEO results",10,N/A,N/A,N/A,commercial,MOFU,6,6,2,8,22,TIER 2,Results Post,/fast-seo-results/,None (Standalone),Month 3,Pending
"reduce marketing costs increase leads",N/A,N/A,N/A,N/A,commercial,TOFU,8,8,5,10,31,TIER 1,Strategy Post,/reduce-marketing-costs-increase-leads/,None (Standalone),Month 1 Week 4,Pending
"SEO for startups Malaysia affordable",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 2,Target + Pricing,/seo-for-startups-malaysia-affordable/,Hub 3E: Small Biz,Month 2,Pending
"affordable SEO packages Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,8,6,5,10,29,TIER 2,Pricing Page,/affordable-seo-packages-malaysia/,None (Pricing),Month 2,Pending
"SEO packages Malaysia",N/A,MEDIUM,N/A,N/A,commercial,MOFU,8,4,5,8,25,TIER 2,Package Comparison,/seo-packages-malaysia/,None (Pricing),Month 3,Pending
"AI powered keyword research tools",N/A,N/A,N/A,N/A,commercial,TOFU,4,8,5,10,27,TIER 2,Tool Roundup,/ai-powered-keyword-research-tools/,Hub 1: AI Search,Month 3,Pending
"free keyword research tool Malaysia",N/A,N/A,N/A,N/A,commercial,TOFU,4,6,5,10,25,TIER 2,Tool Review,/free-keyword-research-tool-malaysia/,Hub 2: Long-Tail,Month 3,Pending
"SEO calculator cost vs benefit",N/A,N/A,N/A,N/A,commercial,TOFU,4,6,5,10,25,TIER 2,Calculator Post,/seo-calculator-cost-benefit/,Hub 2: Long-Tail,Month 3,Pending
"what is E-E-A-T in SEO",N/A,N/A,N/A,N/A,informational,TOFU,4,6,5,10,25,TIER 2,Educational Post,/what-is-eeat-in-seo/,None (Education),Month 3,Pending
"SEO for beginners Malaysia 2025",N/A,N/A,N/A,N/A,informational,TOFU,4,6,5,10,25,TIER 2,Beginner Guide,/seo-for-beginners-malaysia-2025/,None (Education),Month 3,Pending
"AI in digital marketing trends 2025",N/A,N/A,N/A,N/A,informational,TOFU,4,6,5,10,25,TIER 2,Trends Post,/ai-digital-marketing-trends-2025/,Hub 1: AI Search,Month 3,Pending
"SaaS content marketing budget allocation",N/A,N/A,N/A,N/A,informational,TOFU,6,8,5,10,29,TIER 2,Financial Guide,/saas-content-marketing-budget/,Hub 3A: SaaS,Month 2,Pending
"e-commerce organic traffic growth strategies",N/A,N/A,N/A,N/A,informational,TOFU,6,6,5,10,27,TIER 2,Strategic Guide,/ecommerce-organic-traffic-growth/,Hub 3D: Ecommerce,Month 3,Pending
"equipment financing SEO content strategy",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,Vertical Guide,/equipment-financing-seo-content-strategy/,Hub 3C: Finance,Month 1 Week 6,Pending
"marketing strategy for equipment leasing companies",N/A,N/A,N/A,N/A,informational,TOFU,8,8,5,10,31,TIER 1,Strategic Post,/marketing-strategy-equipment-leasing/,Hub 3C: Finance,Month 1 Week 6,Pending
"SEO agency Kuala Lumpur affordable",N/A,N/A,N/A,N/A,transactional,BOFU,8,4,5,10,27,TIER 2,Location Service Page,/seo-agency-kuala-lumpur/,None (Location),Month 2,Pending
"AI marketing agency Kuala Lumpur",N/A,N/A,N/A,N/A,transactional,BOFU,8,6,5,10,29,TIER 2,Location Service Page,/ai-marketing-agency-kuala-lumpur/,None (Location),Month 2,Pending
"long tail keywords SEO",10,LOW,N/A,N/A,commercial,MOFU,6,8,2,6,22,TIER 3,Service/Educational,/long-tail-keywords-seo/,Hub 2: Long-Tail,Month 4,Pending
"content marketing automation",10,N/A,N/A,N/A,commercial,MOFU,4,6,2,6,18,TIER 3,Solution Page,/content-marketing-automation/,Hub 2: Long-Tail,Month 4,Pending
"digital marketing automation",10,MEDIUM,3.27,N/A,commercial,MOFU,4,6,2,6,18,TIER 3,Solution Page,/digital-marketing-automation/,Hub 2: Long-Tail,Month 4,Pending
"automated SEO services",10,N/A,N/A,N/A,transactional,BOFU,6,6,2,6,20,TIER 3,Service Page,/automated-seo-services/,None (Service),Month 5,Pending
"SEO marketing",880,LOW,12.94,70,transactional,BOFU,4,4,8,2,18,TIER 3,Service Page,/seo-marketing/,None (Service),Month 5,Pending
"SEO services Malaysia",N/A,HIGH,N/A,N/A,transactional,BOFU,6,4,5,4,19,TIER 3,General Service,/seo-services-malaysia/,None (Service),Month 4,Pending
"best SEO company Malaysia",N/A,HIGH,N/A,N/A,commercial,BOFU,6,4,5,2,17,TIER 3,Authority + Service,/best-seo-company-malaysia/,None (Service),Month 5,Pending
"best SEO for construction companies",N/A,N/A,N/A,N/A,commercial,MOFU,6,6,5,10,27,TIER 2,Vertical Solution,/best-seo-construction-companies/,Hub 3: Vertical,Month 4,Pending
"SaaS company keyword research Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,6,8,5,10,29,TIER 2,Research Methodology,/saas-keyword-research-malaysia/,Hub 3A: SaaS,Month 3,Pending
"SEO agency that actually delivers results",N/A,N/A,N/A,N/A,commercial,MOFU,6,6,5,10,27,TIER 2,Authority Post,/seo-agency-delivers-results/,None (Standalone),Month 3,Pending
"Exabytes SEO vs Result Marketing",N/A,N/A,N/A,N/A,commercial,MOFU,4,6,5,10,25,TIER 2,Comparison Post,/exabytes-vs-result-marketing/,None (Comparison),Month 4,Pending
"can Claude Code help with SEO",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 1,Tool Case Study,/can-claude-code-help-seo/,Hub 1: AI Search,Month 1 Week 4,Pending
"how to get more excavator financing inquiries",N/A,N/A,N/A,N/A,commercial,BOFU,10,8,5,10,33,TIER 1,Vertical Landing,/more-excavator-financing-inquiries/,Hub 3C: Finance,Month 2,Pending
"AI content creation services Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,6,6,5,10,27,TIER 2,Service Page,/ai-content-creation-services/,None (Service),Month 3,Pending
"what is digital marketing",720,LOW,0.56,63,informational,TOFU,2,2,8,4,16,TIER 3,Foundational Post,/what-is-digital-marketing/,None (Education),Month 5,Pending
"marketing plan",880,LOW,1.89,50,informational,TOFU,2,2,8,4,16,TIER 3,Planning Guide,/marketing-plan-guide/,None (Education),Month 5,Pending
"4ps of marketing",720,LOW,0.60,46,informational,TOFU,2,2,8,4,16,TIER 3,Educational Post,/4ps-of-marketing/,None (Education),Month 6,Pending
"marketing mix 4ps",880,LOW,0.73,19,informational,TOFU,2,2,8,6,18,TIER 3,Educational Post,/marketing-mix-4ps/,None (Education),Month 6,Pending
"what is marketing",880,LOW,0.03,64,informational,TOFU,2,2,8,4,16,TIER 3,Foundational Post,/what-is-marketing/,None (Education),Month 6,Pending
"difference between SEO and SEM explained",N/A,N/A,N/A,N/A,informational,TOFU,2,4,5,10,21,TIER 3,Explainer Post,/seo-vs-sem-explained/,None (Education),Month 5,Pending
"how search engines work simple explanation",N/A,N/A,N/A,N/A,informational,TOFU,2,4,5,10,21,TIER 3,Educational Post,/how-search-engines-work/,None (Education),Month 5,Pending
"content calendar template SEO",N/A,N/A,N/A,N/A,informational,TOFU,2,4,5,10,21,TIER 3,Resource Post,/content-calendar-template-seo/,None (Resource),Month 6,Pending
"digital marketing Penang small business",N/A,N/A,N/A,N/A,transactional,BOFU,6,2,5,10,23,TIER 3,Location Page,/digital-marketing-penang/,None (Location),Month 5,Pending
"SEO services Johor Bahru SME",N/A,N/A,N/A,N/A,transactional,BOFU,6,2,5,10,23,TIER 3,Location Page,/seo-services-johor-bahru/,None (Location),Month 5,Pending
"marketing agencies in malaysia",720,HIGH,3.79,47,navigational,BOFU,4,2,8,4,18,TIER 3,Directory-Style,/marketing-agencies-malaysia/,None (Competitive),Month 6,Pending
"branding agency malaysia",720,MEDIUM,2.04,3,navigational,N/A,0,0,8,8,16,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"social media agency in malaysia",720,LOW,3.14,N/A,navigational,N/A,0,0,8,8,16,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"advertising agency",720,MEDIUM,1.80,6,navigational,N/A,0,0,8,8,16,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"creative agency malaysia",590,LOW,2.16,32,navigational,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"pr agency malaysia",720,MEDIUM,4.04,8,navigational,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"brand agency malaysia",720,LOW,2.31,21,navigational,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"influencer marketing",590,LOW,3.23,68,commercial,N/A,0,0,8,4,12,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"guerilla marketing",880,LOW,0.02,34,commercial,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"google adwords",880,LOW,1.31,82,navigational,N/A,0,0,8,2,10,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"online marketing",590,MEDIUM,5.98,56,navigational,N/A,2,2,8,4,16,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"marketing definition",590,LOW,1.13,47,informational,N/A,2,2,8,4,16,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"marketing manager",590,LOW,0.39,16,commercial,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"marketing internship",720,LOW,0.26,N/A,informational,N/A,0,0,8,6,14,TIER 4,N/A - Skip,N/A,N/A,N/A,Skip
"Primal Malaysia pricing",N/A,N/A,N/A,N/A,informational,N/A,2,2,5,10,19,TIER 3,Competitor Pricing,/primal-malaysia-pricing/,None (Competitor),Month 6,Low Priority
"VeecoTech alternative Malaysia",N/A,N/A,N/A,N/A,commercial,N/A,2,2,5,10,19,TIER 3,Alternative Guide,/veecotech-alternative-malaysia/,None (Competitor),Month 6,Low Priority
"SEO price Malaysia",N/A,N/A,N/A,N/A,informational,N/A,2,2,5,10,19,TIER 3,Research Post,/seo-price-malaysia/,None (Research),Month 6,Low Priority

Additional Long-Tail Keywords (Not in Original CSV - Strategic Additions):
"AI search optimization guide complete 2025",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Hub Page,/ai-search-optimization-guide/,Hub 1: AI Search,Month 1 Week 1,Pending
"long tail keyword strategy ultimate guide",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 1,Hub Page,/long-tail-keyword-strategy-guide/,Hub 2: Long-Tail,Month 1 Week 2,Pending
"SEO with Claude Code Malaysia",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Case Study,/seo-with-claude-code-malaysia/,Hub 1: AI Search,Month 1 Week 4,Pending
"why 100 keywords better than 10",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Thought Leadership,/why-100-keywords-better-than-10/,Hub 2: Long-Tail,Month 1 Week 6,Pending
"Result Marketing case study first client",N/A,N/A,N/A,N/A,commercial,MOFU,8,8,5,10,31,TIER 1,Case Study,/case-study-first-client/,None (Social Proof),Month 2,Pending
"how we rank 100 keywords in 90 days",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Methodology Post,/how-we-rank-100-keywords-90-days/,Hub 2: Long-Tail,Month 2,Pending

Summary Statistics:
- Total Keywords Analyzed: 113
- TIER 1 (Build Immediately): 31 keywords
- TIER 2 (Build Next): 35 keywords
- TIER 3 (Build Later): 24 keywords
- TIER 4 (Skip): 23 keywords
- Total Content to Create: 90 pieces (31 + 35 + 24)
