Keyword,Search Volume,Competition Level,CPC (RM),Keyword Difficulty,Search Intent,Opportunity Score,Monthly Trend,Category,Priority
"digital marketing malaysia",880,MEDIUM,3.80,19,commercial,HIGH,+23%,Core Service,P1
"SEO marketing",880,LOW,12.94,70,navigational,MEDIUM,-22%,Core Service,P2
"content marketing",720,LOW,3.48,59,informational,MEDIUM,-56%,Core Service,P2
"SEO consultant Malaysia",590,LOW,2.14,N/A,commercial,HIGH,+515%,Core Service,P1
"marketing agency malaysia",590,LOW,3.68,58,navigational,HIGH,+69%,Core Service,P1
"AI SEO agency",20,MEDIUM,3.39,N/A,navigational,HIGH,+100%,AI SEO,P1
"long tail keywords SEO",10,LOW,N/A,N/A,commercial,MEDIUM,STABLE,Long-tail Focus,P2
"content marketing automation",10,N/A,N/A,N/A,commercial,MEDIUM,STABLE,AI Marketing,P2
"digital marketing automation",10,MEDIUM,3.27,N/A,commercial,MEDIUM,STABLE,AI Marketing,P2
"automated SEO services",10,N/A,N/A,N/A,commercial,MEDIUM,LOW,AI SEO,P3
"fast SEO results",10,N/A,N/A,N/A,commercial,MEDIUM,LOW,Service Benefit,P2
"AI SEO Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,GROWING,Local AI SEO,P1
"SEO services Malaysia",N/A,HIGH,N/A,N/A,commercial,MEDIUM,STABLE,Local Service,P2
"how to optimize for ChatGPT search",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"Claude Code SEO automation",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Unique Method,P1
"AI content creation services Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,AI Content,P2
"100 keywords per month SEO",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Unique Offer,P1
"best SEO for construction companies",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Vertical,P2
"SEO for equipment financing companies",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for law firms Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for accounting firms Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for SaaS companies Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"e-commerce SEO Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,STABLE,Vertical,P2
"Perplexity AI search optimization",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"how to rank in AI search engines",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"AI search vs Google search differences",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,AI Search Edu,P2
"long tail keyword strategy for SMEs",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Education,P2
"affordable SEO packages Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,STABLE,Pricing,P2
"SEO agency for small business Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,STABLE,Target Market,P1
"marketing agencies in malaysia",720,HIGH,3.79,47,navigational,MEDIUM,-46%,Competitive,P3
"branding agency malaysia",720,MEDIUM,2.04,3,navigational,LOW,+23%,Different Service,P3
"social media agency in malaysia",720,LOW,3.14,N/A,navigational,LOW,+650%,Different Service,P3
"best SEO company Malaysia",N/A,HIGH,N/A,N/A,commercial,MEDIUM,STABLE,Competitive,P3
"SEO packages Malaysia",N/A,MEDIUM,N/A,N/A,commercial,MEDIUM,STABLE,Pricing,P2
"SEO price Malaysia",N/A,N/A,N/A,N/A,informational,LOW,STABLE,Research,P3
"4ps of marketing",720,LOW,0.60,46,informational,LOW,+49%,Educational,P3
"marketing mix 4ps",880,LOW,0.73,19,informational,LOW,-55%,Educational,P3
"what is marketing",880,LOW,0.03,64,informational,LOW,-55%,Educational,P3
"what is digital marketing",720,LOW,0.56,63,informational,LOW,-45%,Educational,P3
"marketing plan",880,LOW,1.89,50,informational,LOW,-45%,Educational,P3
"guerilla marketing",880,LOW,0.02,34,commercial,LOW,-33%,Different Strategy,P3
"influencer marketing",590,LOW,3.23,68,commercial,LOW,-33%,Different Service,P3
"google adwords",880,LOW,1.31,82,navigational,LOW,-32%,Platform,P3
"online marketing",590,MEDIUM,5.98,56,navigational,LOW,-56%,Generic,P3
"marketing definition",590,LOW,1.13,47,informational,LOW,-55%,Educational,P3
"advertising agency",720,MEDIUM,1.80,6,navigational,LOW,-46%,Different Service,P3
"creative agency malaysia",590,LOW,2.16,32,navigational,LOW,+50%,Different Service,P3
"pr agency malaysia",720,MEDIUM,4.04,8,navigational,LOW,-33%,Different Service,P3
"brand agency malaysia",720,LOW,2.31,21,navigational,LOW,+400%,Different Service,P3
"marketing manager",590,LOW,0.39,16,commercial,LOW,-19%,Job Title,P3
"marketing internship",720,LOW,0.26,N/A,informational,LOW,-41%,Job/Internship,P3

LONG-TAIL KEYWORD IDEAS (High Opportunity - Low Competition)
"how does AI SEO differ from traditional SEO",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Educational,P1
"benefits of long tail keywords for small businesses",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Educational,P1
"AI content writer vs human content writer",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Comparison,P2
"can Claude Code help with SEO",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Tool Specific,P1
"SEO agency using AI automation Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Unique Position,P1
"fastest way to rank 100 keywords",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Benefit,P1
"AI search optimization for businesses",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Service,P1
"equipment financing SEO content strategy",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Vertical,P2
"SaaS company keyword research Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Vertical,P2
"local SEO for professional services firms",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"long tail vs head keywords ROI comparison",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Educational,P2
"how to rank on Perplexity AI",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search,P1
"ChatGPT search optimization guide",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search,P1
"content at scale with AI tools",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,AI Content,P2
"SEO for startups Malaysia affordable",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Target + Pricing,P1
"reduce customer acquisition cost with SEO",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Benefit,P1
"organic vs paid search cost comparison Malaysia",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Educational,P2
"SEO results in 30 days possible",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Timeline,P2
"AI powered keyword research tools",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Tools,P2
"automated content creation for SEO",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Service,P2

COMPETITOR BRAND KEYWORDS (Monitor & Create Comparison Content)
"Exabytes SEO vs Result Marketing",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Comparison,P2
"VeecoTech alternative Malaysia",N/A,N/A,N/A,N/A,commercial,LOW,NEW,Comparison,P3
"Primal Malaysia pricing",N/A,N/A,N/A,N/A,informational,LOW,NEW,Competitor Research,P3
"best alternative to traditional SEO agencies",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Alternative,P1
"AI SEO agency vs manual SEO agency",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Comparison,P1

VERTICAL-SPECIFIC LONG-TAIL (High Intent)
"how to get more excavator financing inquiries",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical - Finance,P1
"marketing strategy for equipment leasing companies",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Vertical - Finance,P2
"law firm client acquisition strategies Malaysia",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Vertical - Legal,P1
"accounting firm SEO best practices",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Vertical - Accounting,P1
"SaaS content marketing budget allocation",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Vertical - SaaS,P2
"e-commerce organic traffic growth strategies",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Vertical - Ecommerce,P2
"professional services digital marketing Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical - Prof Services,P1

LOCATION-SPECIFIC LONG-TAIL
"SEO agency Kuala Lumpur affordable",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Location - KL,P2
"digital marketing Penang small business",N/A,N/A,N/A,N/A,commercial,LOW,NEW,Location - Penang,P3
"SEO services Johor Bahru SME",N/A,N/A,N/A,N/A,commercial,LOW,NEW,Location - JB,P3
"AI marketing agency Kuala Lumpur",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Location - KL + AI,P2

PROBLEM/SOLUTION KEYWORDS (High Intent)
"why is my website not getting traffic",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Problem,P1
"how to get more leads from website",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Problem,P1
"paid ads too expensive alternatives",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Problem,P1
"reduce marketing costs increase leads",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Problem,P1
"SEO agency that actually delivers results",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Solution,P2

EDUCATIONAL LONG-TAIL (Authority Building)
"complete guide to long tail keyword research",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Guide,P2
"SEO for beginners Malaysia 2025",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Beginner,P2
"difference between SEO and SEM explained",N/A,N/A,N/A,N/A,informational,LOW,STABLE,Educational,P3
"what is E-E-A-T in SEO",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Educational,P2
"how search engines work simple explanation",N/A,N/A,N/A,N/A,informational,LOW,STABLE,Educational,P3
"AI in digital marketing trends 2025",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Trends,P2

TOOL/RESOURCE KEYWORDS
"free keyword research tool Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Tool,P2
"SEO calculator cost vs benefit",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Tool,P2
"content calendar template SEO",N/A,N/A,N/A,N/A,informational,LOW,STABLE,Resource,P3

Notes:
- Opportunity Score: HIGH = Low competition + High intent + Growing trend
- Priority: P1 = Target immediately, P2 = Target in months 2-3, P3 = Lower priority or avoid
- Search Volume "N/A" = Keywords not yet tracked by tools (opportunity to rank first!)
- Monthly Trend: % change based on recent search volume data
- Total Keywords Identified: 100+
- High Priority (P1) Keywords: 25+
- Recommended Initial Focus: AI SEO positioning + Vertical-specific long-tail + Problem/solution keywords
